id,post,badge,reputation,learning,reciprocity,status,day,url,status_badge,status_reputation,status_learning,status_reciprocity
5740031,0.017002047,0.003286397,0,0.000157705,0.006042178,1,0,1,0.003286397,0,0.000157705,0.006042178
5740031,0.026483659,0.00808679,0.0112,0.00031541,0.0136428,0.499565595,0.00086881,1,0.004039882,0.005595135,0.000157568,0.006815473
5740031,0.036123298,0.012965877,0.014,0.000473115,0.021368022,0.332754127,0.001737619,1,0.004314449,0.004658558,0.000157431,0.007110297
5740031,0.04592632,0.017926283,0.014,0.00063082,0.029221998,0.249348393,0.002606429,1,0.00446989,0.003490877,0.000157294,0.007286458
5740031,0.016370391,0.022970764,0.014,0.000788525,0.037209092,0.199304952,0.003475239,1,0.004578187,0.002790269,0.000157157,0.007415956
5740031,0.031068577,0.007761749,0.014,0.000289126,0.013128152,0.090119264,0.008688097,1,0.000699483,0.00126167,2.61E-05,0.001183099
5740031,0.043374499,0.015325204,0.014,0.000504656,0.025103622,0.061685491,0.013032146,1,0.000945343,0.000863597,3.11E-05,0.001548529
5740031,0.057145411,0.021657637,0.014,0.000662361,0.035129974,0.04679161,0.017376195,1,0.001013396,0.000655083,3.10E-05,0.001643788
5740031,0.033675488,0.028743931,0.014,0.000820066,0.046349939,0.037626144,0.021720243,1,0.001081523,0.000526766,3.09E-05,0.00174397
5740031,0.077556777,0.016666679,0.014,0.000431061,0.027227624,0.023542625,0.034752389,1,0.000392377,0.000329597,1.01E-05,0.00064101
5740031,0.013030831,0.039247297,0.014,0.000804296,0.062980269,0.018756069,0.043440487,1,0.000736125,0.000262585,1.51E-05,0.001181262
5740031,0.011814696,0.005477008,0.008974359,0.004195318,0.01327625,0.006889863,0.111207646,1,3.77E-05,6.18E-05,2.89E-05,9.15E-05
5740031,0.06241808,0.004359857,0.009032258,0.006203395,0.014774888,0.002655376,0.245873154,1,1.16E-05,2.40E-05,1.65E-05,3.92E-05
5740031,0.073568008,0.025309192,0.028571429,0.022336832,0.081795605,0.002136802,0.288444831,1,5.41E-05,6.11E-05,4.77E-05,0.000174781
5740031,0.086658875,0.028837498,0.029166667,0.025516031,0.093347104,0.001758143,0.330147698,1,5.07E-05,5.13E-05,4.49E-05,0.000164118
